На складе (тонн),Вес 1 шт./кг.,,Цена 1 - 5 т. ,"Цена 5 - 15 т.
",Цена > 15 т. ,Филиал,Наименование,Размер,Длина,Доп. информация/ГОСТ,Категория,Длина
1.53,15.592,1852.39,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст20 калиброванный,25мм,НД,ГОСТ 7417-75,1050-2013,Круг
8.68,23.292,1565.26,60200,60100,60000,ЛОБНЯ,Круг Ст35,25мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.05
1.95,15.400,1829.52,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст35 калиброванный,25мм,НД,ГОСТ 7417-75,1050-2013,Круг
0.55,15.477,1872.72,121000,119890,119890,НОВОСИБИРСК,Круг Ст35 калиброванный,25мм,НД,ГОСТ 7417-75,1050-2013,Круг
7.76,23.100,1822.36,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,25мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,6
3.79,19.250,2171.40,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,25мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,5
23.79,1868.880,162966.30,87200,87100,87000,ЛОБНЯ,Круг Ст45,250мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,4.85
13.55,1722.452,150197.81,87200,87100,87000,ЛОБНЯ,Круг Ст45,250мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,4.47
11.19,23.524,1580.81,60200,60100,60000,ЛОБНЯ,Круг Ст20,25мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
4.68,2149.081,330937.01,153990,153890,153890,ЧЕЛЯБИНСК,Круг Ст9ХС,250мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.58
2.55,1116.500,474512.50,425000,425000,425000,ЧЕЛЯБИНСК,Круг СтХВГ,250,,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,2.9
40.85,21.406,1417.11,59200,59100,59000,ЛОБНЯ,Круг Ст3,24мм,(6+нд),"ГОСТ 2590, 535",Круг,06.03
02.01,14.377,1722.42,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст20 калиброванный,24мм,НД,ГОСТ 7417-75,1050-2013,Круг
0.11,21.300,1680.36,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,24мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,6
0.28,21.623,1453.05,60200,60100,60000,ЛОБНЯ,Круг Ст20,24мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.05
1.52,14.271,1726.79,121000,119890,119890,НОВОСИБИРСК,Круг Ст20 калиброванный,24мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.73,14.306,1713.92,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст20 калиброванный,24мм,НД,ГОСТ 7417-75,1050-2013,Круг
9.55,21.406,1438.52,60200,60100,60000,ЛОБНЯ,Круг Ст45,24мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
1.94,21.300,2722.14,123800,122800,121800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,24мм,НД,ГОСТ 7417-75,4543-2016,Круг
02.06,14.200,1828.96,123800,122800,121800,ЕКАТЕРИНБУРГ,Круг Ст40х калиброванный,24мм,НД,ГОСТ 7417-75,4543-2016,Круг
3.64,15.545,2868.09,180500,179890,179890,ЧЕЛЯБИНСК,Круг СтШХ15-В,24 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,4.4
2.58,14.271,1709.67,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,24мм,НД,ГОСТ 7417-75,1050-2013,Круг
3.77,14.200,1718.20,121000,119890,119890,НОВОСИБИРСК,Круг Ст45 калиброванный,24мм,НД,ГОСТ 7417-75,1050-2013,Круг
05.05,14.200,1701.16,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,24мм,НД,ГОСТ 7417-75,1050-2013,Круг
0.99,14.200,1718.20,121000,119890,119890,НОВОСИБИРСК,Круг Ст35 калиброванный,24мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.95,14.271,1695.39,113800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст35 калиброванный,24мм,НД,ГОСТ 7417-75,1050-2013,Круг
12.94,21.442,1440.90,60200,60100,60000,ЛОБНЯ,Круг Ст35,24мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
39.14,21.477,1507.72,63200,63100,63000,ЛОБНЯ,Круг Ст40Х,24мм,,"ГОСТ 2590,4543-2016",Круг,06.05
1.81,14.910,1786.22,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст35 калиброванный,24мм,НД,ГОСТ 7417-75,1050-2013,Круг
10.79,1810.500,211629.34,116890,116890,116890,ЧЕЛЯБИНСК,Круг ст18ХГТ,240мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,5.1
15.36,1722.380,150191.58,87200,87100,87000,ЛОБНЯ,Круг Ст20,240мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,4.85
6.64,1700.450,198765.60,116890,116890,116890,ЧЕЛЯБИНСК,Круг ст18ХГТ,240мм,,ГОСТ 2590-2006 4543-2016 3ГП,Круг,4.79
3.42,1405.706,122577.61,87200,87100,87000,ЛОБНЯ,Круг Ст45,230мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,4.31
3.49,922.580,392557.79,425000,425000,425000,ЧЕЛЯБИНСК,Круг СтХВГ,230,,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,2.83
2.41,961.700,111932.26,115890,115890,115890,ЧЕЛЯБИНСК,Круг СтУ8А,230мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,2.95
04.05,1065.900,126724.85,118890,118890,118890,НОВОСИБИРСК,Круг СтУ8А,230мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,3.3
2.95,929.043,140740.72,150990,150890,150890,ЧЕЛЯБИНСК,Круг Ст9ХС,230мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,2.85
11.84,1408.968,122862.01,87200,87100,87000,ЛОБНЯ,Круг Ст45,230мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,4.32
19.23,1711.727,149262.56,87200,87100,87000,ЛОБНЯ,Круг Ст45,240мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,4.82
8.28,1718.829,149881.91,87200,87100,87000,ЛОБНЯ,Круг Ст45,240мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,4.84
3.18,1082.750,460168.75,425000,425000,425000,ЧЕЛЯБИНСК,Круг СтХВГ,240,,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,03.05
2.30,912.350,138211.90,150990,150890,150890,ЧЕЛЯБИНСК,Круг Ст9ХС,240мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,2.57
3.83,915.900,141955.34,154990,154890,154890,НОВОСИБИРСК,Круг Ст9ХС,240мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,2.58
14.33,1718.829,149881.91,87200,87100,87000,ЛОБНЯ,Круг Ст35,240мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,4.84
9.70,1652.000,196406.30,118890,118890,118890,ЧЕЛЯБИНСК,Круг ст30ХГСА,240мм,,"ГОСТ 2590-2006,4543-2016 3ГП",Круг,4.57
10.72,1700.002,202113.19,118890,118890,118890,ЧЕЛЯБИНСК,Круг ст30ХГСА,240мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,4.84
2.61,1711.727,154397.74,90200,90100,90000,ЛОБНЯ,Круг Ст3,240мм,3ГП,"ГОСТ 2590-2006, 535-88, 2ГП",Круг,4.82
20.55,1711.727,157821.19,92200,92100,92000,ЛОБНЯ,Круг Ст40Х,240мм,3гп,"ГОСТ4543-2016,2590-2006",Круг,4.82
7.92,1704.387,157144.48,92200,92100,92000,ЛОБНЯ,Круг Ст40Х,240мм,,"ГОСТ4543-2016,2590-2006",Круг,4.85
6.72,1118.250,145249.49,129890,129890,129890,ЧЕЛЯБИНСК,Круг Ст38хс,240мм,,"ГОСТ 2590-2006, 4543-2016, 3ГП",Круг,3.15
10.05,2758.615,295447.69,107100,107000,106900,ЛОБНЯ,Круг Ст20,280мм.,,"ГОСТ 2590,1050 3ГП",Круг,5.71
08.09,1498.431,209480.72,139800,139800,139800,ЧЕЛЯБИНСК,Круг ст18ХГТ,280мм,,"ТУ14-1-2118,2590,4543-16 2ГП",Круг,3.1
5.44,1537.101,214886.68,139800,139800,139800,ЧЕЛЯБИНСК,Круг ст18ХГТ,280мм,,"ТУ14-1-2118,2590,4543-16 3ГП",Круг,3.18
10.47,2813.184,312826.09,111200,111100,111000,ЛОБНЯ,Круг Ст40Х,280мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,5.82
8.16,2786.784,389592.40,139800,139800,139800,ЧЕЛЯБИНСК,Круг ст30ХГСА,280мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,5.8
5.27,2681.316,287168.94,107100,107000,106900,ЛОБНЯ,Круг Ст35,280мм.,,"ГОСТ 2590,1050-88 2ГП",Круг,5.55
6.50,2768.480,296504.21,107100,107000,106900,ЛОБНЯ,Круг Ст35,280мм.,3ГП,"ГОСТ 2590,1050-88 3ГП",Круг,5.72
3.28,1465.518,205011.31,139890,139890,139890,ЧЕЛЯБИНСК,Круг Ст38хс,280мм,,"ГОСТ 2590-2006, 4543-2016, 3ГП",Круг,3
3.29,1175.517,164443.14,139890,139890,139890,ЧЕЛЯБИНСК,Круг Ст38хс,270мм,,"ГОСТ 2590-2006, 4543-2016, 3ГП",Круг,2.5
8.45,1707.074,182998.33,107200,107100,107000,ЛОБНЯ,Круг Ст40Х,270мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,3.8
12.04,1670.939,218709.26,130890,130890,130890,ЧЕЛЯБИНСК,Круг ст30ХГСА,270мм,,"ГОСТ 2590-2006,4543-2016 3ГП",Круг,3.77
10.38,1828.325,186672.02,102100,102000,101900,ЛОБНЯ,Круг Ст35,270мм.,3ГП,"ГОСТ 2590,1050-88 3ГП",Круг,04.07
01.02,26.640,3164.83,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст35 калиброванный,27мм,НД,ГОСТ 7417-75,1050-2013,Круг
12.31,1882.274,192180.14,102100,102000,101900,ЛОБНЯ,Круг Ст45,270мм.,3ГП,"ГОСТ 2590,1050",Круг,4.19
5.89,1170.000,182625.30,156090,155990,155890,ЧЕЛЯБИНСК,Круг Ст9ХС,270мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,2.6
31.08,27.180,1826.50,60200,60100,60000,ЛОБНЯ,Круг Ст20,27мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
5.25,29.221,2305.28,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,28мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.05
8.97,29.173,1960.44,60200,60100,60000,ЛОБНЯ,Круг Ст35,28мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
1.46,26.951,3444.39,123800,122800,121800,ЕКАТЕРИНБУРГ,Круг Ст40х калиброванный,28мм,НД,ГОСТ 7417-75,4543-2016,Круг
01.02,26.565,3395.01,123800,122800,121800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,28мм,НД,ГОСТ 7417-75,4543-2016,Круг
0.99,15.456,1870.18,121000,119890,119890,НОВОСИБИРСК,Круг Ст35 калиброванный,28мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.27,28.980,3442.82,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст35 калиброванный,28мм,НД,ГОСТ 7417-75,1050-2013,Круг
9.45,30.000,3032.70,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,28мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,6
14.27,29.125,2044.57,63200,63100,63000,ЛОБНЯ,Круг Ст40Х,28мм.,,"ГОСТ 2590,4543-2016",Круг,06.03
17.54,29.318,1970.18,60200,60100,60000,ЛОБНЯ,Круг Ст20,28мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.07
15.55,2756.098,295178.12,107100,107000,106900,ЛОБНЯ,Круг Ст45,280мм.,3ГП,"ГОСТ 2590,1050",Круг,5.65
5.39,1159.200,180939.53,156090,155990,155890,ЧЕЛЯБИНСК,Круг Ст9ХС,280мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,2.4
24.40,29.318,1940.86,59200,59100,59000,ЛОБНЯ,Круг Ст3,28мм,(6+нд),ГОСТ 2590,Круг,06.07
1.97,26.758,3178.87,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст20 калиброванный,28мм,НД,ГОСТ 7417-75,1050-2013,Круг
0.40,28.014,3389.69,121000,119890,119890,НОВОСИБИРСК,Круг Ст20 калиброванный,28мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.41,1222.776,158826.37,129890,129890,129890,ЧЕЛЯБИНСК,Круг ст18ХГТ,260мм,,"ТУ14-1-2118,2590,4543-16 3ГП",Круг,2.96
8.94,1812.079,185013.32,102100,102000,101900,ЛОБНЯ,Круг Ст20,260мм.,,"ГОСТ 2590,1050 3ГП",Круг,4.35
0.28,19.062,1795.68,90200,89890,89890,ЧЕЛЯБИНСК,Круг СтУ8А,25мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,4.95
2.35,19.227,7671.57,395000,395000,395000,ЧЕЛЯБИНСК,Круг СтХВГ,25,,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,4.93
3.19,15.336,2829.49,180500,179890,179890,ЧЕЛЯБИНСК,Круг СтШХ15-В,25 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,4
6.72,1475.507,191653.66,129890,129890,129890,ЧЕЛЯБИНСК,Круг ст18ХГТ,260мм,,"ТУ14-1-2118,2590,4543-16 2ГП",Круг,3.54
7.16,1875.645,191503.35,102100,102000,101900,ЛОБНЯ,Круг Ст35,260мм.,3ГП,"ГОСТ 2590,1050-88",Круг,4.5
5.56,1209.300,169168.98,139890,139890,139890,ЧЕЛЯБИНСК,Круг Ст38хс,260мм,,"ГОСТ 2590-2006, 4543-2016, 3ГП",Круг,2.9
19.88,1799.582,192915.23,107200,107100,107000,ЛОБНЯ,Круг Ст40Х,260мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,4.32
3.39,1770.422,231730.60,130890,130890,130890,ЧЕЛЯБИНСК,Круг ст30ХГСА,260мм,,"ГОСТ 2590-2006,4543-2016 3ГП",Круг,4.25
7.93,1766.257,231185.35,130890,130890,130890,ЧЕЛЯБИНСК,Круг ст30ХГСА,260мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,4.24
1.83,15.400,1968.12,123800,122800,121800,ЕКАТЕРИНБУРГ,Круг Ст40х калиброванный,25мм,НД,ГОСТ 7417-75,4543-2016,Круг
2.35,15.554,1913.14,123000,122890,122890,НОВОСИБИРСК,Круг Ст40х калиброванный,25мм,НД,ГОСТ 7417-75,4543-2016,Круг
2.41,15.592,1992.72,123800,122800,121800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,25мм,НД,ГОСТ 7417-75,4543-2016,Круг
1.42,23.254,2762.58,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст35 калиброванный,25мм,НД,ГОСТ 7417-75,1050-2013,Круг
9.31,23.254,2374.00,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,25мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,06.04
6.29,22.472,1577.51,63200,63100,63000,ЛОБНЯ,Круг Ст40Х,25мм.,,"ГОСТ 2590,4543-2016",Круг,06.08
1.68,15.477,1838.67,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,25мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.46,15.400,1863.40,121000,119890,119890,НОВОСИБИРСК,Круг Ст45 калиброванный,25мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.39,15.400,1829.52,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,25мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.87,19.255,2333.71,121200,120890,120890,НОВОСИБИРСК,Круг Ст9ХС,25мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5
5.10,19.525,2366.38,117200,116890,116890,ЧЕЛЯБИНСК,Круг Ст9ХС,25мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,05.07
3.92,19.602,1826.87,93200,92890,92890,НОВОСИБИРСК,Круг СтУ8А,25мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,05.09
16.79,23.254,1562.67,60200,60100,60000,ЛОБНЯ,Круг Ст45,25мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
1.35,23.132,2845.29,123000,122890,122890,НОВОСИБИРСК,Круг Ст40х калиброванный,26мм,НД,ГОСТ 7417-75,4543-2016,Круг
15.31,25.270,1698.16,60200,60100,60000,ЛОБНЯ,Круг Ст45,26мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.06
2.75,23.352,2825.59,121000,119890,119890,НОВОСИБИРСК,Круг Ст35 калиброванный,26мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.12,25.687,3051.64,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст35 калиброванный,26мм,НД,ГОСТ 7417-75,1050-2013,Круг
4.33,24.186,2469.15,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,26мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,5.8
12.06,25.187,1768.11,63200,63100,63000,ЛОБНЯ,Круг Ст40Х,26мм.,,"ГОСТ 2590,4543-2016",Круг,06.04
10.05,2668.426,346601.88,129890,129890,129890,ЧЕЛЯБИНСК,Круг ст18ХГТ,270мм,,"ТУ14-1-2118,2590,4543-16 3ГП",Круг,5.94
10.06,2134.877,217970.94,102100,102000,101900,ЛОБНЯ,Круг Ст20,270мм.,,"ГОСТ 2590,1050 3ГП",Круг,4.74
0.99,994.001,129607.74,129890,129890,129890,ЧЕЛЯБИНСК,Круг ст18ХГТ,270мм,,"ТУ14-1-2118,2590,4543-16 2ГП",Круг,2.22
3.22,1105.050,170277.15,154090,153990,153890,ЧЕЛЯБИНСК,Круг Ст9ХС,260мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,2.65
11.46,1624.623,165874.01,102100,102000,101900,ЛОБНЯ,Круг Ст45,260мм.,3ГП,"ГОСТ 2590,1050",Круг,3.9
1.34,25.020,2972.38,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст20 калиброванный,26мм,НД,ГОСТ 7417-75,1050-2013,Круг
8.17,25.187,1667.37,59200,59100,59000,ЛОБНЯ,Круг Ст3,26мм,,ГОСТ 2590,Круг,06.04
25.61,25.187,1692.55,60200,60100,60000,ЛОБНЯ,Круг Ст35,26мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
1.90,23.060,2739.54,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст20 калиброванный,26мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.62,22.924,2773.80,121000,119890,119890,НОВОСИБИРСК,Круг Ст20 калиброванный,26мм,НД,ГОСТ 7417-75,1050-2013,Круг
28.40,239.522,14898.28,60200,60100,60000,ЛОБНЯ,Круг Ст45,80мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.07
28.85,116.946,7332.55,60200,60100,60000,ЛОБНЯ,Круг Ст45,56мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.05
22.12,117.140,7813.22,64200,64100,64000,ЛОБНЯ,Круг Ст40Х,56мм.,,ГОСТ 2590-2006,Круг,06.06
0.95,102.449,12765.15,122800,122800,122800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,56мм,НД,ГОСТ 7417-75,1050-2013,Круг
3.70,91.936,10774.92,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,56мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.75
5.44,92.904,10683.96,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,56мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.8
2.22,76.944,14026.89,180500,179890,179890,ЧЕЛЯБИНСК,Круг СтШХ15-В,56 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,4
2.47,114.070,14826.82,129980,129980,129980,НОВОСИБИРСК,Круг Ст35 калиброванный,58мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.81,118.218,7412.27,60200,60100,60000,ЛОБНЯ,Круг Ст45,58мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,5.7
1.99,103.222,12861.49,122800,122800,122800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,56мм,НД,ГОСТ 7417-75,1050-2013,Круг
9.51,118.392,7423.20,60200,60100,60000,ЛОБНЯ,Круг Ст3,56мм,(6+нд),ГОСТ 2590,Круг,06.05
0.23,117.000,7335.91,60200,60100,60000,ЛОБНЯ,Круг Ст3,56мм,3ГП,ГОСТ 2590,Круг,06.03
10.04,114.240,11411.46,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,56мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,5.91
11.48,116.946,8968.63,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,56мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.05
4.28,98.583,10903.28,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,56мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,5.1
18.26,116.173,7284.07,60200,60100,60000,ЛОБНЯ,Круг Ст35,56мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.01
0.08,84.322,11297.46,133980,133980,133980,НОВОСИБИРСК,Круг Ст35 калиброванный,60мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.57,134.028,13388.02,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,60мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,06.04
1.54,117.660,13013.20,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,60мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,5.3
11.14,134.249,8417.44,60200,60100,60000,ЛОБНЯ,Круг Ст35,60мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.05
4.76,237.549,15725.76,64200,64100,64000,ЛОБНЯ,Круг Ст40Х,80мм,,ГОСТ2590-2006,Круг,06.02
29.18,134.471,8969.24,64200,64100,64000,ЛОБНЯ,Круг Ст40Х,60мм.,,ГОСТ 2590-2006,Круг,06.06
18.77,134.058,8405.42,60200,60100,60000,ЛОБНЯ,Круг Ст20,60мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
18.01,134.028,8403.53,60200,60100,60000,ЛОБНЯ,Круг Ст3,60мм,(6+нд),ГОСТ 2590,Круг,06.04
0.31,199.114,12783.09,62200,62100,62000,ЛОБНЯ,Круг Ст20 3ГП,85мм,3ГП,ГОСТ 2590,Круг,4.48
3.26,84.139,11753.32,137890,137890,137890,ЕКАТЕРИНБУРГ,Круг Ст40х калиброванный,50мм,НД,ГОСТ 7417-75,4543-2016,Круг
1.58,92.768,11781.56,127000,126890,126890,НОВОСИБИРСК,Круг Ст40х калиброванный,50мм,НД,ГОСТ 7417-75,4543-2016,Круг
2.27,80.132,11186.43,137800,137800,137800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,50мм,НД,ГОСТ 7417-75,4543-2016,Круг
2.31,83.114,10355.98,122800,122800,122800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,50мм,НД,ГОСТ 7417-75,1050-2013,Круг
4.20,76.483,9864.80,128980,128980,128980,НОВОСИБИРСК,Круг Ст45 калиброванный,50мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.70,83.422,10394.41,122800,122800,122800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,50мм,НД,ГОСТ 7417-75,1050-2013,Круг
3.32,81.620,9565.86,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,50мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.3
7.34,90.090,10360.35,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,50мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.85
